,latitude,longitude,LSOA11CD
249,53.43839000000001,-2.21946,E01005309
250,53.43639,-2.22345,E01005309
251,53.44049,-2.21797,E01005309
252,53.43798,-2.21853,E01005309
253,53.43638000000001,-2.22112,E01005309
254,53.43584,-2.21908,E01005309
255,53.48699281861303,-2.232665884857834,E01033651
256,53.48628000000001,-2.23235,E01033651
257,53.48787,-2.23313,E01033651
258,53.48749,-2.23416,E01033651
259,53.4864,-2.23217,E01033651
260,53.48720827322504,-2.2331953064665098,E01033651
261,53.4882,-2.23368,E01033651
262,53.48597,-2.22975,E01033651
263,53.48732,-2.22657,E01033651
264,53.4861,-2.22723,E01033651
265,53.487169136664804,-2.233768251278529,E01033651
266,53.48591,-2.23097,E01033651
267,53.48785,-2.23386,E01033651
268,53.48787,-2.23508,E01033651
269,53.48752242880355,-2.2347355408756577,E01033651
270,53.48631999999999,-2.23258,E01033651
271,53.48754,-2.23359,E01033651
272,53.4878,-2.23277,E01033651
273,53.48745,-2.23426,E01033651
274,53.48711,-2.23404,E01033651
275,53.48606,-2.23144,E01033651
276,53.4876,-2.23467,E01033651
277,53.48714,-2.23369,E01033651
278,53.4879,-2.23225,E01033651
279,53.48617,-2.22992,E01033651
280,53.48496,-2.2256400000000003,E01033651
281,53.48571999999999,-2.22632,E01033651
282,53.48885,-2.22589,E01033651
283,53.48736,-2.23393,E01033651
284,53.48795636873089,-2.234886806400972,E01033651
285,53.48556,-2.23014,E01033651
286,53.48574039257396,-2.226377190540913,E01033651
287,53.485572421964854,-2.2315623039846426,E01033651
288,53.485869644884396,-2.2262963354571053,E01033651
289,53.48595,-2.22651,E01033651
290,53.48754,-2.23336,E01033651
291,53.48798000000001,-2.2349900000000003,E01033651
292,53.48675,-2.22732,E01033651
293,53.48631,-2.2285,E01033651
294,53.48586,-2.2295700000000003,E01033651
295,53.48706,-2.2341,E01033651
296,53.48775,-2.23385,E01033651
297,53.487738457561186,-2.233281382300269,E01033651
298,53.487113911758925,-2.2329270731055115,E01033651
299,53.487734918029204,-2.233555092129438,E01033651
300,53.487730000000006,-2.23356,E01033651
301,53.48751,-2.23273,E01033651
302,53.48806999999999,-2.2334,E01033651
303,53.48764,-2.23219,E01033651
304,53.48516,-2.22986,E01033651
305,53.42851,-2.23925,E01005275
